FCLTY_ID,FCLTY_NM,LC_LA,LC_LO,CTPRVN_NM,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ADSTRD_CD,ADSTRD_NM,RDNMADR_CD,RDNMADR_NM,SEARCH_MT,SEARCH_CO,RANK_CO,FILE_NM,BASE_DE
KC594PO22N000000001,「제34회 대구약령시 한방문화축제」,128.593426,35.867194,대구광역시,중구,2711011900,동성로3가,2711057500,성내2동,2.71E+11,대구광역시 중구 동성로3가 중앙대로 379-2,22-Sep,2850,1,KC_594_WNTY_FSTV_TRND_MAP_2022,20220931
KC594PO22N000000002,「제34회 대구약령시 한방문화축제」,128.593426,35.867194,대구광역시,중구,2711011900,동성로3가,2711057500,성내2동,2.71E+11,대구광역시 중구 동성로3가 중앙대로 379-2,22-Aug,200,2,KC_594_WNTY_FSTV_TRND_MAP_2022,20220931
KC594PO22N000000003,「제34회 대구약령시 한방문화축제」,128.593426,35.867194,대구광역시,중구,2711011900,동성로3가,2711057500,성내2동,2.71E+11,대구광역시 중구 동성로3가 중앙대로 379-2,22-Jul,120,3,KC_594_WNTY_FSTV_TRND_MAP_2022,20220931
KC594PO22N000000004,「제34회 대구약령시 한방문화축제」,128.593426,35.867194,대구광역시,중구,2711011900,동성로3가,2711057500,성내2동,2.71E+11,대구광역시 중구 동성로3가 중앙대로 379-2,22-Jun,140,4,KC_594_WNTY_FSTV_TRND_MAP_2022,20220931
KC594PO22N000000005,「제34회 대구약령시 한방문화축제」,128.593426,35.867194,대구광역시,중구,2711011900,동성로3가,2711057500,성내2동,2.71E+11,대구광역시 중구 동성로3가 중앙대로 379-2,22-May,380,5,KC_594_WNTY_FSTV_TRND_MAP_2022,20220931
KC594PO22N000000006,「제34회 대구약령시 한방문화축제」,128.593426,35.867194,대구광역시,중구,2711011900,동성로3가,2711057500,성내2동,2.71E+11,대구광역시 중구 동성로3가 중앙대로 379-2,22-Apr,210,6,KC_594_WNTY_FSTV_TRND_MAP_2022,20220931
KC594PO22N000000007,「제34회 대구약령시 한방문화축제」,128.593426,35.867194,대구광역시,중구,2711011900,동성로3가,2711057500,성내2동,2.71E+11,대구광역시 중구 동성로3가 중앙대로 379-2,22-Mar,160,7,KC_594_WNTY_FSTV_TRND_MAP_2022,20220931
KC594PO22N000000008,「제34회 대구약령시 한방문화축제」,128.593426,35.867194,대구광역시,중구,2711011900,동성로3가,2711057500,성내2동,2.71E+11,대구광역시 중구 동성로3가 중앙대로 379-2,22-Feb,60,8,KC_594_WNTY_FSTV_TRND_MAP_2022,20220931
KC594PO22N000000009,「제34회 대구약령시 한방문화축제」,128.593426,35.867194,대구광역시,중구,2711011900,동성로3가,2711057500,성내2동,2.71E+11,대구광역시 중구 동성로3가 중앙대로 379-2,22-Jan,60,9,KC_594_WNTY_FSTV_TRND_MAP_2022,20220931
KC594PO22N000000010,「제35회 대구약령시 한방문화축제」,128.593426,35.867194,대구광역시,중구,2711011900,동성로3가,2711057500,성내2동,2.71E+11,대구광역시 중구 동성로3가 중앙대로 379-2,22-Sep,2850,1,KC_594_WNTY_FSTV_TRND_MAP_2022,20220931
